cmd,time,loc,pref
오늘 점심 뭐 먹지?,점심,없음,없음
이 근처에 맛있는 집 있어?,없음,없음,없음
여기 근처에서 저녁을 해결해야 하는데 어디로 가지?,저녁,없음,없음
종로3가 쪽에 가성비 좋은 고기집 알려주세요.,없음,종로3가,가성비 좋은 고기집
강남역에서 저녁을 먹을 수 있는 삼겹살 맛집 추천해주세요.,저녁,강남역,삼겹살
공덕역쪽에 밥이랑 술 같이 먹을수 있는 야무진 집 있을까요?,없음,공덕역,없음
신사역 근처에 곱창전골 잘하는곳 없을까요?,없음,신사역,곱창전골
서울시 성동구에서 퓨전 요리를 먹을 수 있는 맛집을 추천해주세요.,없음,서울시 성동구,퓨전 요리
최근에 인기있는 브런치 카페를 추천해주세요.,없음,없음,브런치 카페
대전역 근처에 술을 마실 수 있는 분위기 좋은 바가 있을까요?,없음,대전역,분위기 좋은 술집
한양대학교 근처에서 샌드위치 맛집 있을까요?,없음,한양대학교,샌드위치
오늘 아침에 간단하게 먹을 수 있는 카페 추천해주세요.,아침,없음,브런치 카페
인천에서 점심으로 먹을 맛있는 초밥집을 찾고 있어요. 추천해주세요.,점심,인천,초밥
강원도 속초여행 계획중인데 가볼만한곳 추천해주세요.,없음,강원도 속초,없음
오늘 저녁에 늦게까지 열려 있는 맛집 추천해줘.,저녁,없음,늦게까지 열려 있는 곳
회식을 위한 좋은 레스토랑 추천해주세요.,저녁,없음,회식하기 좋은 곳
근처에 피자 맛있는데 있나?,없음,없음,피자
뭐 먹지?,없음,없음,없음
압구정로데오역 근처에 스테이크 맛있게 하는 가게좀 알려주세요.,없음,압구정로데오역,스테이크
해산물을 먹을 수 있는 맛집이 있을까요?,없음,없음,해산물
용인에서 저녁 먹을 수 있는 분위기 좋은 식당 추천해주세요.,없음,용인,분위기 좋은 식당
왕십리에서 가족과 함께 갈 수 있는 식당 추천해주세요.,없음,왕십리,가족과 함께 갈 수 있어야 함
강남역 주변 맛집 추천해줘.,없음,강남역,없음
5월 12일 점심에 한양대학교 근처에서 뭐 먹을지 골라줘. 느끼한 음식은 싫어.,점심,한양대학교,느끼하지 않은 음식 판매
강남역 근처에서 파스타가 맛있는 곳 추천해주세요.,없음,강남역,파스타
지금 당장 먹을만한거 없나?,없음,없음,없음
이번 주 금요일에 인천에서 소개팅할 분위기 좋은 식당 골라줘.,없음,인천,소개팅하기 좋은 분위기
내일 친구들이랑 술 마시러 가는데 어디가 좋을까?,저녁,없음,없음
가족들이랑 갈만한 인사동 고깃집 추천해주세용~,없음,인사동,가족과 함께 갈 수 있는 고깃집
"소고기 먹고 싶은데, 어디로 가면 좋을까요?",없음,없음,소고기
부산에서 해산물을 먹을 수 있는 맛집을 알고 있나요?,없음,부산,해산물
건대나 성수 근처에 맛있는 국밥집 있을까요?,없음,건대,국밥
"출장 중인데, 이 지역에서 유명한 음식점이 있을까요?",없음,없음,없음
이태원이나 한남동 부근에 와인바 좀 추천해주세요.,없음,이태원,와인바
홍대입구역 근처에 괜찮은 횟집 있으면 추천해주세요.,없음,홍대입구역,횟집
신촌근처에 혼밥하기 좋은 밥집있나요?,없음,신촌,혼밥하기 좋은 장소
"을지로 양식, 한식 맛집 추천 부탁드려요!",없음,을지로,양식 또는 한식
밤늦게까지 먹을 수 있는 야식집 추천해주세요.,저녁,없음,밤늦게까지 운영하는 곳
인천에서 돼지고기 맛집이 있을까요? 추천해주세요.,없음,인천,돼지고기
해장할 겸 아침 먹어야 할것 같은데 어디로 가지?,아침,없음,해장할 수 있는 곳
한양대 근처 매란방이랑 금룡말고 맛있는 짜장면집 있나요?,없음,한양대,중국집
제주도 여행가는데 꼭 가야되는 관광지랑 맛집 추천해주세요.,없음,제주도,없음
요즘 핫한 연남동 맛집 추천해주세요.,없음,연남동,없음
명동맛집추천해주세요!!,없음,명동,없음
잠실 롯데월드몰 안에 마라탕 파는 곳 아시는 분 계신가요?,없음,잠실 롯데월드몰,마라탕
수원 인계동 나혜석거리 이자카야 추천해주세요.,없음,나혜석거리,이자카야
사당역 근처에 양꼬치 무한리필 되는 곳 아시나요?,없음,사당역,양꼬치 무한리필
신림사거리 순대타운 말고 다른 맛집 아는 사람?,없음,신림사거리,순대타운 제외
여의도 한강공원 근처에 치킨 배달 시킬 만한 곳 있니?,없음,여의도 한강공원,치킨 배달
혜화역 근처에 혼자서 먹기 좋은 일식집 추천해주세요.,없음,혜화역,일식
성신여대 근처에 혼술하기 좋은 맥주집 추천해주세요.,없음,성신여대,혼술하기 좋은 맥주집
교대역 부근에 맛있는 횟집 있나요?!,없음,교대역,횟집
서울 근교 드라이브 코스 추천해주세요.,없음,서울,드라이브 코스
성수동에서 친구랑 저녁 먹을건데 어디가 좋을까요?,저녁,성수동,없음
신논현역 쪽에 맛있는 고깃집 있나요?,없음,신논현역,고기
강남역 근처에 혼밥하기 좋은 식당 있나요?,없음,강남역,혼밥 가능한 식당
강남역 근처에 점심으로 혼밥하기 좋은 곳 알려주세요.,점심,강남역,혼밥
서울에서 제일 맛있는 초밥집은 어디인가요?,없음,서울 전역,초밥
강남역 근처에 점심으로 먹을만한 거 추천해줘.,없음,강남역,없음
강남역 주변 점심 먹을만한 곳 알려주세요.,점심,서울 강남역,없음
강남역에서 소개팅 할만한 곳 추천해주세요.,저녁,강남역,소개팅 장소
사당역 괜찮은 술집 추천해 주세요.,저녁,사당역,술집
강남역 주변 분위기 좋은 레스토랑 추천해주세요.,저녁,강남역,분위기 좋은 레스토랑
종각역 근처에 맛집좀 소개시켜주세요~,없음,종각역,없음
강남에서 여자친구랑 데이트하는데 분위기 좋은 레스토랑 추천해줘.,점심,강남,분위기 좋은 레스토랑
부산 해운대쪽 호텔 추천해주세요.,없음,부산 해운대,호텔
이 근처에 괜찮은 식당이 있나요?,없음,없음,없음
혹시 여기 주변에 맛집 있을까요?,없음,없음,없음
강남역 근처의 한식집을 추천해주세요.,점심,강남역,한식
서울에서 맛있는 스테이크를 먹을 수 있는 곳이 어디인가요?,없음,서울,스테이크
홍대입구역 근처 혼밥하기 좋은 곳 알려주세요.,없음,홍대입구역,혼밥하기 좋은 곳
삼성동 코엑스 스타필드 내 혼밥하기 좋은 식당 있나요?,없음,코엑스,혼밥하기 좋은 식당
홍대입구역에서 가까운 술집 어디야?,저녁,홍대입구역,역에서 가까운 곳
강남역 근처의 맛집 알려주세요.,없음,강남역,없음
지금 강남역인데 혼밥할만한 곳 있을까요?,없음,강남역,혼밥 가능한 곳
명동에서 가장 가까운 CGV는 어디인가요?,없음,명동,영화관
분위기 좋은 레스토랑 어디가 좋을까요?,점심,없음,분위기 좋은 레스토랑
"다음주 수요일 저녁에 강남역에서 친구들과 만나기로 했는데, 어디가 좋을까?",없음,강남역,모임장소
내일 친구들이랑 술 마시러 가는데 어디가 좋을까?,저녁,없음,없음
홍대에서 여자친구랑 갈만한 분위기 좋은 레스토랑 알려줘.,없음,홍대입구역,"파스타, 스테이크 등 양식"
홍대입구역에서 가까운 초밥집 알려주세요!,없음,홍대입구역,초밥
강남역 주변에 혼밥하기 좋은 식당 추천해주세요.,없음,강남역,혼밥
강남역근처 맛있는 고깃집 추천해주세요!,없음,강남역,고기
서울에서 가장 맛있는 곱창집은 어디야?,없음,없음,없음
강남역 주변에 맛있는 파스타집 좀 알려줘.,없음,강남역,맛있는 파스타
강남역 근처에 친구들과 함께 갈만한 카페를 추천해주세요.,없음,강남역,친구들과 함께 갈만한 곳
서울 근교로 드라이브 갈 만한 곳 없을까?,없음,서울,없음
홍대에 분위기 좋은 술집 추천해주세요.,저녁,홍대,분위기 좋은 술집
강남역 근처에 분위기 좋은 술집 있나요?,저녁,강남역,분위기 좋은 술집
신촌에 혼밥하기 좋은 곳 알려주세요!,없음,신촌,혼밥
한양대 주변에 괜찮은 술집 좀 알려줘!,저녁,없음,술집
강남역 주변 맛집 추천해주세요.,점심,강남역,없음
강남구청역 주변에 분위기 좋은 카페가 있을까요?,없음,강남구청역,분위기 좋은 카페
제주도 여행지 추천 좀 해주세요!,없음,제주도,여행지
강남역 주변의 괜찮은 식당이 어디가 있을까요?,점심,강남역,없음
강남역 주변에 회식하기 좋은 장소 추천해주세요.,없음,강남역,회식장소
강남역 근처 괜찮은 술집 알려주세요.,저녁,강남역,괜찮음
오늘 점심은 뭘 먹을까요?,점심,을지로,"한식, 중식, 일식 중 하나"
강남역 근처에 분위기 좋은 레스토랑 추천해주세요.,없음,강남역,분위기 좋은 레스토랑
강남역에 여자친구랑 같이 가기 좋은 곳 있나요?,없음,강남역,여자친구와 함께 가야함
고기를 잘 굽는 방법은 무엇인가요?,없음,없음,고기 굽기
오늘 점심은 뭐 먹지?,점심,없음,없음
서울 시내에서 분위기 좋은 레스토랑 추천해주세요.,없음,서울 시내,분위기 좋은 레스토랑
